track_num,title,artist,album,year,label
1,You Bliss,Nightmares On Wax feat. Adrian Sherwood,A E I O U and Y,1992,Warp Records
2,Death Cleaning,Pan-American,Death Korp of Krieg,2004,Kranky
3,Cercle de Tambour Kinact avec Manza,KINACT,Cercle de Tambour,2019,unknown
4,Evie,Holy Fuck,Latin,2005,Jagjaguwar
5,Why Do Men Sing,Bill Callahan,Sometimes I Wish I Was an Eagle,2009,Drag City
6,Commit,Kathryn Mohr,Commit,2021,unknown
7,Make-up is a Lie,Morrissey,Viva Hate,1988,HMV
8,Io sono il vento,Franco Maris,unknown,unknown,unknown
9,She Knows Too Much,Thundercat feat. Mac Miller,Drunk,2017,Flying Lotus Productions
10,Dear Grandpa,Shotaro Sakamoto,Midori,2019,Slices of Life
11,Amusement Park,Nicolas Michaux,unknown,unknown,unknown
12,Dalla parte dell'orso,Caco,unknown,unknown,unknown
14,Landslide,Fleetwood Mac,Rumours,1977,Warner Bros. Records
15,Crx,Casino Royale,unknown,unknown,unknown
16,Aerial Troubles,Stereolab,Peng!,1994,Duophonic
19,Coma,Eiko Ishibashi,Flotsam,2017,Ghostly International
20,harvest sky,chiou feat. underscores,unknown,unknown,unknown
21,Diddy Bop,Noname feat. Raury & Cam O'bi,Telefony,2019,Closed Sessions
22,Dolamân,Altan,Altan,1987,Rounder Records
23,Agony,Yung Lean,Unknown Memory,2014,YEAR0001
24,either on or off the drugs,PEGMAFIA,unknown,unknown,unknown
25,DENIAL IS A RIVER,Doechii,Doechii,2021,Top Dawg Entertainment
26,Nose rouge,St Germain,Tourist,1997,Astralwerks
27,Ya Annes,Kurt Vile,b'lieve i'm goin down...,2015,Matador Records
28,Fiore mio,Andrea Laszlo De Simone,Euthanasia,2013,Secretly Canadian
29,Click Song,Chicago Underground Duo,In Praise of Shadows,2004,Delmark Records
35,Nearly There,Steve Gunn,The Unseen In Between,2020,Matador Records
36,Stratus,Tim Daizu feat. Rafael Toral & Mars Williams,unknown,unknown,unknown
39,Come La Notte,WHR,unknown,unknown,unknown
42,Protest With Love,Lonnie Holley,MITH,2019,MITH
46,Water Memory 1,Emily A. Sprague,Water Memory,2017,Hypothetical Imperatives
49,Makondi,Don Cherry feat. Ed Blackwell,Mu First,1969,Blue Note Records
50,Riley: Keyboard Study 2 - Brubaker Version 3,Terry Riley feat. Bruce Brubaker,Riley: Keyboard Studies,2018,Naxos
53,Daddy's Gonna Tell You No Lie,Sun Ra feat. Cosmic Rays,Jazz in Silhouette,1959,Saturn
55,Para Elsa,Los Destellos,Los Destellos,1966,Fidelity Records
56,Park Bench,Chris Staples,Tilth,2012,Jagjaguwar
58,HIGHJACK,A$AP Rocky feat. Jessica Pratt,Testing,2018,RCA Records
59,Funeral for Justice,Olivia Dean,Visions,2021,Lo-Fi Records
60,Enchantèrica,Jon Kennedy,unknown,unknown,unknown
61,feel away,James Blake feat. Mount Kimbie,Assume Form,2019,Polydor Records
62,Immensità,Andrea Laszlo De Simone,Euthanasia,2013,Secretly Canadian
64,Another good year for the roses,Kurt Vile,Wakin on a Pretty Daze,2013,Matador Records
65,Vigorous,Shlomi Shababo,unknown,unknown,unknown
67,Sunny April Showers,Alabaster DePlume feat. Dawna Thompson,Gold,2020,Rough Trade Records
68,Think Twice,DJ Cami Quartet,unknown,unknown,unknown
69,Hold Onto Something,Mavis Staples,We Get By,2007,Anti- Records
72,Late Afternoon,Mabe Fratti,unknown,unknown,unknown
75,Turn Your Lights Down Low,Bob Marley & The Wailers,Kaya,1978,Island Records
77,Sey,Orchestra Baobab,Pirate's Choice,1982,Stern's African Records
80,Bad Kingdom,Moderat,II,2012,Mute Records
81,Copperhead Road,Steve Earle,Copperhead Road,1988,MCA Records
82,Sexual Healing,Hot 8 Brass Band,On the Real,2012,Treme Brass Band
83,Sexual Healing,Marvin Gaye,Midnight Love,1982,Columbia Records
84,Svedinom,Dino Merlin,Jadran,1994,Diskoton
85,Song For You,Rhye,Woman,2013,Innovative Leisure
86,The Fall,Rhye,Woman,2013,Innovative Leisure
87,Mahana Tepotzlan,El Baho,unknown,unknown,unknown
89,Lost in the Supermarket,The Clash,The Cost of Living EP,1979,CBS
90,Swashers,Yosi Horikawa,Eucalyptus,2014,Improper
92,Djit Nshrab,Jonny Greenwood feat. Ahmed Doma,Phantom Thread: Original Motion Picture Soundtrack,2017,Nonesuch Records
94,Fuzzbuster #10,Arthur Russell,World of Arthur Russell,2016,Audika Records
96,Monotony II,Tim Hecker feat. Colin Stetson,Virgins,2013,Mille Plateaux
97,Static Kings,Fennesz,Venice,2005,Mille Plateaux
98,In The Light Of A Miracle,Arthur Russell,Another Thought,2014,Audika Records
99,Did You Know,Alabaster DePlume,Gold,2020,Rough Trade Records
100,I've Seen It All,Björk,Dancer in the Dark: Original Soundtrack,2000,Elektra Records
101,La mar,Charles Trenet,unknown,unknown,unknown
102,That's Entertainment,The Jam,All Mod Cons,1978,Polydor Records
104,Come To Life,Arthur Russell,Another Thought,2014,Audika Records
105,I Never Get Lonesome,Arthur Russell,World of Arthur Russell,2016,Audika Records
106,Jonathan,Adrianne Lenker feat. Buck Meek,songs / instrumentals,2018,Jagjaguwar
110,Hallogallo,NEU!,Neu!,1972,Brain Records
111,I Saw You,Fred again.. feat. Brian Eno,Actual Life (April 14 - December 17 2020),2021,KIDSUKI
